現地コード,銘柄名(English),銘柄名,市場,業種,取扱
CTSH,COGNIZANT TECH-A,コグニザント・テクノロジー・ソリューションズ,NASDAQ,石油・ガス・パイプライン,○
CTXS,"CITRIX SYSTEMS, INC.",シトリックス・システムズ,NASDAQ,ソフトウェア・ソフトウェアサービス,○
CURE,DIREXION DAILY HEALTHCARE BULL 3X SHARES,Direxion デイリー ヘルスケア株 ブル3倍 ETF,NYSE Arca,その他,○
CVA,COVANTA HOLDING CORP,コバンタ・ホールティング,NYSE,サービス,○
CVBF,CVB FINANCIAL CORP,ＣＶＢファイナンシャル,NASDAQ,金融（その他）,○
CVG,CONVERGYS CORPORATION,コンバージス,NYSE,サービス,○
CVI,CVR ENERGY INC,ＣＶＲエナジー,NYSE,運輸,○
CVLT,COMMVAULT SYSTEMS INC,コムボールト・システムズ,NASDAQ,ソフトウェア・ソフトウェアサービス,○
CVS,CVS HEALTH CORP,CVSヘルス,NYSE,小売,○
CVX,CHEVRON CORPORATION,シェブロン,NYSE,石油・ガス・パイプライン,○
CWB,SPDR Bloomberg Barclays Convertible Securities ETF,SPDR ブルームバーグ・バークレイズ・コンバーチブル債券ETF,NYSE Arca,その他,○
CWI,SPDR MSCI ACWI ex-US ETF,SPDR　MSCI 全世界株式（除く米国）　ETF,NYSE Arca,その他,○
CXO,CONCHO RESOURCES INC.,コンチョ・リソーシズ,NYSE,鉄鋼・鉱業,○
CXSE,WISDOMTREE CHINA EX-STATE-OWNED ENTERPRISE FUND,ウィズダムツリー中国株ニューエコノミーファンド,NASDAQ,その他,○
CY,CYPRESS SEMICONDUCTOR CORPORATION,サイプレス　セミコンダクター,NASDAQ,半導体関連,○
CYBR,CYBERARK SOFTWARE LTD/ISRAEL,サイバーアーク・ソフトウェア,NASDAQ,ソフトウェア・ソフトウェアサービス,○
CYD,CHINA YUCHAI,チャイナユチャイ,NYSE,自動車・自動車関連,○
CYOU,CHANGYOU.COM LTD.,Changyou.com ,NASDAQ,エンターテイメント・メディア,○
CZZ,COSAN LIMITED,コーサン,NYSE,食品・飲料,○
D,DOMINION ENERGY,ドミニオン・エナジー,NYSE,電機・電力・エネルギー,○
DAL,DELTA AIR LINES INC,デルタ航空,NYSE,航空,○
DATA,"TABLEAU SOFTWARE, INC. ",タブローソフトウェア,NYSE,ソフトウェア・ソフトウェアサービス,○
DB,DEUTSCHE BANK-RG,ドイツ銀行,NYSE,金融（銀行）,○
DBA,Invesco DB Agriculture Fund,インベスコDBアグリカルチャー・ファンド,NYSE Arca,その他,○
DBC,Invesco DB Commodity Index Tracking Fund,インベスコDB コモディティ・インデックス・トラッキング・ファンド,NYSE Arca,その他,○
DBD,DIEBOLD NIXDORF INC,ディーボールド・ニックスドルフ,NYSE,その他製造,○
DBX,"DROPBOX, INC.",ドロップボックス,NASDAQ,ソフトウェア・ソフトウェアサービス,○
DCI,DONALDSON CO INC,ドナルドソン,NYSE,その他製造,○
DDD,3D SYSTEMS CORP,スリーディー・システムズ,NYSE,その他製造,○
DDS,DILLARDS INC-CL A,ディラーズ,NYSE,小売,○
DE,DEERE & CO,ディアー,NYSE,電機・電力・エネルギー,○
DEM,WisdomTree Emerging Markets High Dividend Fund,ウィズダムツリー  新興国株 高配当ファンド,NYSE Arca,その他,○
DEO,DIAGEO PLC-ADR,ディアジオ,NYSE,食品・飲料,○
DES,WISDOMTREE SMALLCAP DIVIDEND FUND,ウィズダムツリー　米国小型株配当ファンド,NYSE Arca,その他,○
DEW,WisdomTree Global High Dividend Fund,ウィズダムツリー  世界株 高配当ファンド,NYSE Arca,その他,○
DF,DEAN FOODS COMPANY,ディーン・フーズ,NYSE,食品・飲料,○
DFE,WisdomTree Europe SmallCap Dividend Fund,ウィズダムツリー  欧州小型株配当ファンド,NYSE Arca,その他,○
DFJ,WisdomTree Japan SmallCap Dividend Fund,ウィズダムツリー  日本小型株配当ファンド,NYSE Arca,その他,○
DFS,DISCOVER FINANCIAL SERVICES,ディスカバー・ファイナンシャル・サービシズ,NYSE,金融（カード）,○
DG,DOLLAR GENERAL CORP,ダラー・ゼネラル,NYSE,小売,○
DGRE,WISDOMTREE EMERGING MARKETS QUALITY DIVIDEND GROWTH FUND,ウィズダムツリー　新興国株クオリティ配当成長ファンド,NASDAQ,その他,○
DGRS,WISDOMTREE U.S. SMALLCAP QUALITY DIVIDEND GROWTH FUND,ウィズダムツリー　米国小型株クオリティ配当成長ファンド,NASDAQ,その他,○
DGRW,WISDOMTREE U.S. QUALITY DIVIDEND GROWTH FUND,ウィズダムツリー　米国株クオリティ配当成長ファンド,NASDAQ,その他,○
DGS,WISDOMTREE EMERGING MARKETS SMALLCAP DIVIDEND FUND,ウィズダムツリー　新興国小型株配当ファンド,NYSE Arca,その他,○
DGX,QUEST DIAGNOSTICS INCORPORATED,クエスト・ダイアグノスティックス,NYSE,医療・医療サービス,○
DHI,DR HORTON INC,Ｄ．Ｒ．ホートン,NYSE,その他,○
DHR,DANAHER CORP,ダナハー,NYSE,電機・電力・エネルギー,○
DHS,WisdomTree High Dividend Fund,ウィズダムツリー  米国株 高配当ファンド,NYSE Arca,その他,○
DIA,SPDR Dow Jones Industrial Average ETF ,SPDR ダウ工業株平均 ETF,NYSE Arca,その他,○
DIS,THE WALT DISNEY COMPANY,ウォルト・ディズニー,NYSE,エンターテイメント・メディア,○
DISCA,"DISCOVERY, INC. CL-A",ディスカバリー　クラスＡ,NASDAQ,エンターテイメント・メディア,○
DISCK,"DISCOVERY, INC. CL-C",ディスカバリー　クラスC,NASDAQ,通信関連,○
DISH,DISH NETWORK CORPORATION,ディッシュ・ネットワーク,NASDAQ,エンターテイメント・メディア,○
DJP,IPATH BLOOMBERG COMMODITY INDEX TOTAL RETURN ETN,iPathブルームバーグ・コモディティ指数トータルリターンETN,NYSE Arca,その他,○
DKS,DICK'S SPORTING GOODS INC,ディックス・スポーティング・グッズ,NYSE,小売,○
DLN,WISDOMTREE LARGECAP DIVIDEND FUND,ウィズダムツリー　米国大型株配当ファンド,NYSE Arca,その他,○
DLPH,DELPHI TECHNOLOGIES PLC,デルファイ・テクノロジーズ,NYSE,その他製造,○
DLTR,"DOLLAR TREE, INC",ダラー・ツリー,NASDAQ,小売,○
DLX,DELUXE CORP,デラックス,NYSE,サービス,○
DNKN,DUNKIN' BRANDS GROUP INC.,ダンキン　ブランズ　グループ,NASDAQ,外食・レストラン,○
DNOW,NOW INC,NOWインク,NYSE,石油・ガス・パイプライン,○
DO,DIAMOND OFFSHORE,ダイヤモンド・オフショア・ドリリング,NYSE,石油・ガス・パイプライン,○
DOCU,DOCUSIGN INC,ドキュサイン,NASDAQ,ソフトウェア・ソフトウェアサービス,○
DON,WISDOMTREE MIDCAP DIVIDEND FUND,ウィズダムツリー　米国中型株配当ファンド,NYSE Arca,その他,○
DOV,DOVER CORP,ドーバー,NYSE,その他製造,○
DPS,DR PEPPER SNAPPLE GROUP INC,ドクターペッパー・スナップル・グループ,NYSE,食品・飲料,○
DPZ,DOMINO'S PIZZA INC,ドミノ・ピザ,NYSE,外食・レストラン,○
DRD,DRDGOLD LIMITED,ＤＲＤゴールド,NYSE,鉄鋼・鉱業,○
DRI,DARDEN RESTAURANTS INC,ダーデン・レストランツ,NYSE,外食・レストラン,○
DRN,DIREXION DAILY REAL ESTATE BULL 3X SHARES,Direxion デイリー 米国リート ブル3倍 ETF,NYSE Arca,その他,○
DRV,DIREXION DAILY REAL ESTATE BEAR 3X SHARES ,Direxion デイリー 米国リート ベア3倍 ETF,NYSE Arca,その他,○
DSW,DSW INC-CLASS A,ＤＳＷ,NYSE,その他製造,○
DTE,DTE ENERGY COMPANY,ＤＴＥエナジー,NYSE,石油・ガス・パイプライン,○
DTEA,DAVIDSTEA INC.,デイビッズ・ティー,NASDAQ,小売,○
DUK,DUKE ENERGY CORPORATION,デューク・エナジー　,NYSE,電機・電力・エネルギー,○
DUST,DIREXION DAILY GOLD MINERS BEAR 3X SHARES,Direxion デイリー 金鉱株 ベア3倍 ETF,NYSE Arca,その他,○
DVA,DAVITA INC,ダヴィータ,NYSE,医療・医療サービス,○
DVN,DEVON ENERGY CO,デボン・エナジー,NYSE,石油・ガス・パイプライン,○
DVY,iShares Select Dividend ETF,iシェアーズ 好配当株式 ETF,NASDAQ,その他,○
DWDP,DOW DUPONT,ダウ・デュポン,NYSE,化学,○
DXC,DXC Technology,DXCテクノロジー,NYSE,情報処理サービス,○
DXJ,WisdomTree Japan Hedged Equity Fund,ウィズダムツリー  日本株米ドルヘッジ付ファンド,NYSE Arca,その他,○
DXJF,WisdomTree Japan Hedged Financials Fund,ウィズダムツリー  日本株金融セクター米ドルヘッジ付ファンド,NYSE Arca,その他,○
DXJS,WisdomTree Japan Hedged SmallCap Equity Fund,ウィズダムツリー  日本小型株米ドルヘッジ付ファンド,NASDAQ,その他,○
EA,ELECTRONIC ARTS INC.,エレクトロニック・アーツ,NASDAQ,通信関連,○
EAT,BRINKER INTERNATIONAL INC,ブリンカー・インターナショナル,NYSE,外食・レストラン,○
EBAY,EBAY INC.,イーベイ,NASDAQ,ソフトウェア・ソフトウェアサービス,○
EBND,SPDR Bloomberg Barclays Emerging Markets Local Bond,SPDR ブルームバーグ・バークレイズ 新興国債券（現地通貨建て）ETF,NYSE Arca,その他,○
ECA,ENCANA CORP,エンカーナ,NYSE,電機・電力・エネルギー,○
ECL,ECOLAB INC,エコラブ,NYSE,ホテル・モーテル,○
ED,"CONSOLIDATED EDISON, INC.",コンソリデーテッド・エジソン,NYSE,電機・電力・エネルギー,○
EDC,DIREXION DAILY EMERGING MARKETS BULL 3X SHARES,Direxion デイリー 新興国株 ブル3倍 ETF,NYSE Arca,その他,○
EDU,NEW ORIENTAL EDUCATION & TECHNOLOGY GROUP INC.,ニューオリエンタルエデュケーションアンドテクノロジー,NYSE,サービス,○
EDV,VANGUARD EXTENDED DURATION TREASURY ETF,バンガード・超長期米国債ETF,NYSE Arca,その他,○
EDZ,DIREXION DAILY EMERGING MARKETS BEAR 3X SHARES,Direxion デイリー 新興国株 ベア3倍 ETF,NYSE Arca,その他,○
EE,EL PASO ELECTRIC CO,エルパソ・エレクトリック,NYSE,電機・電力・エネルギー,○
EEM,iShares MSCI Emerging Markets ETF,iシェアーズ MSCI エマージング・マーケット ETF,NYSE Arca,その他,○
EEMS,iShares MSCI Emerging Markets Small‐Cap ETF,iシェアーズ MSCI エマージング・マーケット小型株 ETF,NYSE Arca,その他,○
EFA,iShares MSCI EAFE INDEX FUND,iシェアーズ MSCI EAFE ETF,NYSE Arca,その他,○
EFX,EQUIFAX INC.,エクイファックス,NYSE,金融（その他）,○
EGL,ENGILITY HLDS,エンジリティ・ホールディングス,NYSE,航空機・宇宙,○
EIDO,iShares MSCI INDONESIA INVESTABLE MARKET INDEX FUND,iシェアーズ MSCI インドネシア ETF,NYSE Arca,その他,○
EIX,EDISON INTL,エジソン・インターナショナル,NYSE,電機・電力・エネルギー,○
EL,ESTEE LAUDER,エスティ　ローダー,NYSE,トイレタリー・ヘルスケア,○
ELD,WisdomTree Emerging Markets Local Debt Fund,ウィズダムツリー  新興国現地通貨建債券ファンド,NYSE Arca,その他,○
EMB,iShares JPMORGAN USD EMERGING MARKETS BOND FUND,iシェアーズ J.P.モルガン・米ドル建てエマージング・マーケット債券 ETF,NASDAQ,その他,○
EMLC,VanEck Vectors J.P. Morgan EM Local Currency Bond ETF,ヴァンエック・ベクトル・JPモルガン新興国債券（現地通貨建て）ETF,NYSE Arca,その他,○
EMN,EASTMAN CHEMICAL COMPANY,イーストマン・ケミカル,NYSE,化学,○
EMR,EMERSON ELEC CO,エマソン・エレクトリック,NYSE,その他製造,○
ENB,ENBRIDGE INC,エンブリッジ,NYSE,石油・ガス・パイプライン,○
ENDP,ENDO INTERNATIONAL　PLC,エンド・インターナショナル,NASDAQ,医薬品,○
EOG,EOG RESOURCES,ＥＯＧリソーシズ,NYSE,石油・ガス・パイプライン,○
EPHE,iShares MSCI PHILIPPINES INVESTABLE MARKET INDEX FUND,iシェアーズ MSCI フィリピン ETF,NYSE Arca,その他,○
EPI,WisdomTree India Earnings Fund,ウィズダムツリー  インド株収益ファンド,NYSE Arca,その他,○
EPOL,iShares MSCI Poland ETF,iシェアーズ MSCI ポーランドETF,NYSE Arca,その他,○
EPP,iShares MSCI PACIFIC EX-JAPAN INDEX,iシェアーズ MSCI パシフィック（除く日本）ETF,NYSE Arca,その他,○
EQH,"AXA EQUITABLE HOLDINGS, INC.",ＡＸＡエクイタブル・ホールディングス,NYSE,金融（保険）,○
EQNR,EQUINOR ASA,エクイノール,NYSE,石油・ガス・パイプライン,○
EQT,EQT CORP,ＥＱＴ,NYSE,電機・電力・エネルギー,○
ERIC,LM ERICSSON TELEPHONE COMPANY,LMエリクソン,NASDAQ,通信関連,○
ERJ,EMBRAER SA - ADR,エンブラエル,NYSE,航空機・宇宙,○
EROS,EROS INTERNATIONAL PLC,エロス・インターナショナル,NYSE,エンターテイメント・メディア,○
ERUS,iShares MSCI Russia ETF,iシェアーズ MSCI ロシアETF,NYSE Arca,その他,○
ES,EVERSOURCE ENERGY,エバーソース・エナジー,NYSE,電機・電力・エネルギー,○
ES,EVERSOURCE ENERGY,エバーソース・エナジー,NYSE,電機・電力・エネルギー,○
ESRX,EXPRESS SCRIPTS HOLDING CO,エクスプレス・スクリプツ,NASDAQ,医療・医療サービス,○
ESV,ENSCO PLC-ADR,エンスコ,NYSE,石油・ガス・パイプライン,○
ETFC,E-TRADE FINANCIAL CORPORATION,イー・トレード・ファイナンシャル,NASDAQ,金融（証券）,○
ETN,EATON CORP,イートン,NYSE,その他製造,○
ETR,ENTERGY CORPORATION,エンタージ,NYSE,電機・電力・エネルギー,○
ETSY,ETSY INC ,エッツィー,NASDAQ,小売,○
EUDG,WISDOMTREE EUROPE QUALITY DIVIDEND GROWTH FUND,ウィズダムツリー　欧州株クオリティ配当成長ファンド,NYSE Arca,その他,○
EVH,"EVOLENT HEALTH, INC.",エボレント・ヘルス,NYSE,医療・医療サービス,○
EVHC,"ENVISION HEALTHCARE HOLDINGS, INC.",エンビジョン・ヘルスケア,NYSE,医療・医療サービス,○
EVRG,EVERGY INC,エヴァジー,NYSE,電機・電力・エネルギー,○
EW,EDWARDS LIFESCIENCES CORP,エドワーズライフサイエンス,NYSE,医療機器,○
EWBC,EAST WEST BANCORP INC,イースト・ウエスト・バンコープ,NASDAQ,金融（銀行）,○
EWG,iShares MSCI Germany ETF,iシェアーズ MSCI ドイツ ETF,NYSE Arca,その他,○
EWJ,iShares MSCI Japan Index Fund,iシェアーズ MSCI ジャパン ETF,NYSE Arca,その他,○
EWM,iShares MSCI MALAYSIA,iシェアーズ MSCI マレーシア ETF,NYSE Arca,その他,○
EWS,iShares MSCI Singapore ETF,iシェアーズ MSCI シンガポールETF,NYSE Arca,その他,○
EWT,iShares MSCI Taiwan ETF,iシェアーズ MSCI 台湾 ETF　,NYSE Arca,その他,○
EWW,iShares MSCI MEXICO ETF,iシェアーズ MSCI メキシコ ETF,NYSE Arca,その他,○
EWY,iShares MSCI SOUTH KOREA ETF,iシェアーズ MSCI 韓国 ETF,NYSE Arca,その他,○
EWZ,iShares MSCI BRAZIL ETF,iシェアーズ MSCI ブラジル ETF,NYSE Arca,その他,○
EXAS,EXACT SCIENCES CORPORATION,イグザクド・サイエンシズ,NASDAQ,医薬品（バイオテクノロジー）,○
EXC,EXELON CORPORATION,エクセロン,NYSE,電機・電力・エネルギー,○
EXI,iShares Global Industrials ETF,iシェアーズ グローバル資本財 ETF,NYSE Arca,その他,○
EXP,EAGLE MATERIALS INC,イーグル・マテリアルズ,NYSE,複合企業,○
EXPD,"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC.",エクスペディターズ・インターナショナル・オブ・ワシントン,NASDAQ,運輸,○
EXPE,EXPEDIA GROUP INC,エクスペディア・グループ,NASDAQ,サービス,○
EXPR,EXPRESS INC,エクスプレス,NYSE,小売,○
EXTR,"EXTREME NETWORKS, INC.",エクストリーム　ネットワークス,NASDAQ,通信関連,○
EZA,iShares MSCI SOUTH AFRICA INDEX,iシェアーズ MSCI 南アフリカ ETF,NYSE Arca,その他,○
F,FORD MOTOR COMPANY,フォード・モーター,NYSE,自動車・自動車関連,○
FAF,FIRST AMERICAN FINANCIAL,ファースト・アメリカン・ファイナンシャル,NYSE,金融（保険）,○
FANH,FANHUA INC.,フェンフア,NASDAQ,金融（保険）,○
FAS,DIREXION DAILY FINANCIAL BULL 3X SHARES ,Direxion デイリー 米国金融株 ブル3倍 ETF,NYSE Arca,その他,○
FAST,FASTENAL CO,ファスナル,NASDAQ,その他,○
FAZ,DIREXION DAILY FINANCIAL BEAR 3X SHARES ,Direxion デイリー 米国金融株 ベア3倍 ETF,NYSE Arca,その他,○
FB,FACEBOOK,フェイスブック,NASDAQ,通信関連,○
FBHS,"FORTUNE BRANDS HOME & SECURITY, INC.",フォーチュン・ブランズ・ホーム・アンド・セキュリティ,NYSE,その他製造,○
FBR,FIBRIA CELULOSE,ファイブリア・セルロース,NYSE,紙・パルプ,○
FCAU,FIAT CHRYSLER AUTOMOBILES N.V. ,フィアット・クライスラー・オートモービルズ,NYSE,自動車・自動車関連,○
FCEL,"FUELCELL ENERGY, INC.",フュエルセル・エナジー,NASDAQ,電機・電力・エネルギー,○
FCX,FREEPORT MCMORAN INC,フリーポート・マクモラン,NYSE,鉄鋼・鉱業,○
FDC,FIRST DATA CORP,ファースト・データ,NYSE,情報処理サービス,○
FDP,FRESH DEL MONTE PRODUCE INC.,フレッシュ・デルモンテ・プロデュース,NYSE,食品・飲料,○
FDS,FACTSET RESEARCH SYSTEMS INC.,ファクトセット・リサーチ・システムズ,NYSE,ソフトウェア・ソフトウェアサービス,○
FDX,FEDEX CORPORATION,フェデックス,NYSE,運輸,○
FE,FIRSTENERGY CORP,ファーストエナジー,NYSE,電機・電力・エネルギー,○
FEYE,FIREEYE INC,ファイア・アイ,NASDAQ,ソフトウェア・ソフトウェアサービス,○
FFIV,F5 NETWORKS,Ｆ５ネットワークス,NASDAQ,ソフトウェア・ソフトウェアサービス,○
FICO,FAIR ISAAC CORP,フェア・アイザック,NYSE,金融（その他）,○
FIS,"FIDELITY NATIONAL INFORMATION SERVICES, INC.",フィデリティ・ナショナル・インフォメーション・サービシーズ,NYSE,情報処理サービス,○
FISV,"FISERV, INC.",ファイサーブ,NASDAQ,情報処理サービス,○
FIT,FITBIT INC.,フィットビット,NYSE,通信関連,○
FITB,FIFTH THIRD BANCORP,フィフス・サード・バンコープ,NASDAQ,金融（その他）,○
FIVE,FIVE BELOW,ファイブ ビロウ,NASDAQ,小売,○
FL,FOOT LOCKER INC,フット・ロッカー,NYSE,小売,○
FLEX,FLEXTRONICS INTERNATIONAL LTD.,フレクストロニクス・インターナショナル,NASDAQ,電機・電力・エネルギー,○
FLO,FLOWERS FOODS INC,フラワーズ・フーズ,NYSE,外食・レストラン,○
FLR,FLUOR CORP,フルアー・コープ,NYSE,複合企業,○
FLS,FLOWSERVE CORP,フローサーブ,NYSE,石油・ガス・パイプライン,○
FLT,FLEETCOR TECHNOLOGIES INC,フリートコ・テクノロジーズ,NYSE,サービス,○
FM,iShares MSCI Frontier 100 Index Fund,iシェアーズ MSCI フロンティア 100 ETF,NYSE Arca,その他,○
FMC,FMC CORP,ＦＭＣ,NYSE,サービス,○
FMX,FOMENTO ECON-ADR,フォメント・エコノミコ・メヒカノ,NYSE,食品・飲料,○
FNB,FNB CORP,ＦＮＢ,NYSE,金融（その他）,○
FND,FLOOR & DECOR HOLDINGS,フロア・アンド・デコレ　HD,NYSE,小売,○
FNSR,FINISAR CORP,フィニーサー,NASDAQ,ネットワーク・ネットワークセキュリティ,○
FNV,FRANCO-NEVADA CORP,フランコ－ネバダ,NYSE,金融（その他）,○
FOLD,"AMICUS THERAPEUTICS, INC.",アミカス・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
FOSL,FOSSIL GROUP INC,フォッシルグループ,NASDAQ,小売,○
FOX,21ST CENTURY FOX,21世紀フォックス,NASDAQ,エンターテイメント・メディア,○
FRAC,"KEANE GROUP, INC.",キーン・グループ,NYSE,石油・ガス・パイプライン,○
FRAC,"KEANE GROUP, INC.",キーン・グループ,NYSE,石油・ガス・パイプライン,○
FRC,FIRST REPUBLIC BANK,ファースト・リパブリック・バンク,NYSE,金融（銀行）,○
FSLR,FIRST SOLAR INC,ファーストソーラー,NASDAQ,電機・電力・エネルギー,○
FTI,TECHNIPFMC PLC,テクニップＦＭＣ,NYSE,石油・ガス・パイプライン,○
FTNT,FORTINET,フォーティネット,NASDAQ,その他,○
FTR,FRONTIER COMMUNICATIONS CORP.,フロンティア･コミュニケーションズ,NASDAQ,通信関連,○
FTV,FORTIVE CORP,フォーティブ,NYSE,その他製造,○
FUL,H.B. FULLER CO.,Ｈ．Ｂ．フラー,NYSE,化学,○
FXI,iShares China Large‐Cap ETF,iシェアーズ 中国大型株 ETF,NYSE Arca,その他,○
GAL,SPDR SSgA Global Allocation ETF,SPDR　SSgA グローバル・アロケーション ETF,NYSE Arca,その他,○
GBCI,GLACIER BANCORP INC,グレーシャー・バンコープ,NASDAQ,金融（銀行）,○
GCI,GANNETT CO INC,ガネット,NYSE,通信関連,○
GCO,GENESCO INC,ゼネスコ,NYSE,小売,○
GD,GENERAL DYNAMICS CORPORATION,ゼネラル・ダイナミクス,NYSE,航空機・宇宙,○
GDDY,GODADDY INC.,ゴーダディ,NYSE,ソフトウェア・ソフトウェアサービス,○
GDOT,GREEN DOT CORP-A,グリーンドット,NYSE,その他,○
GDX,VanEck Vectors Gold Miners ETF,ヴァンエック・ベクトル・金鉱株ETF,NYSE Arca,その他,○
GDXJ,VanEck Vectors Junior Gold Miners ETF,ヴァンエック・ベクトル・中小型金鉱株ETF,NYSE Arca,その他,○
GE,GENERAL ELECTRIC COMPANY,ゼネラル・エレクトリック,NYSE,複合企業,○
GERN,GERON CORPORATION,ジェロン,NASDAQ,医薬品（バイオテクノロジー）,○
GFA,GAFISA S.A.,ガフィサ,NYSE,その他,○
GFI,GOLD FIELDS LIMITED,ゴールドフィールズ,NYSE,鉄鋼・鉱業,○
GG,GOLDCORP INC.,ゴールドコープ,NYSE,鉄鋼・鉱業,○
GGB,GERDAU SA-ADR,ゲルダウ,NYSE,鉄鋼・鉱業,○
GGG,GRACO INC.,グレコ,NYSE,その他製造,○
GIGM,GIGAMEDIA LIMITED,ギガメディア,NASDAQ,インターネットサービス,○
GILD,"GILEAD SCIENCES, INC.",ギリアド・サイエンシズ,NASDAQ,医薬品（バイオテクノロジー）,○
GIS,"GENERAL MILLS, INC.",ゼネラル・ミルズ,NYSE,食品・飲料,○
GLD,SPDR GOLD SHARES,SPDR ゴールド・シェア,NYSE Arca,その他,○
GLOG,GASLOG LTD,ガスログ,NYSE,石油・ガス・パイプライン,○
GLW,CORNING INCORPORATED,コーニング,NYSE,通信関連,○
GM,GENERAL MOTORS COMPANY ,ゼネラル・モーターズ,NYSE,自動車・自動車関連,○
GME,GAMESTOP CORP.,ゲームストップ,NYSE,コンピュータ関連,○
GMF,SPDR S&P Emerging Asia Pacific ETF,SPDR　S&P　ア ジ ア・パ シ フィ ッ ク　新興国株式 ETF,NYSE Arca,その他,○
GNC,GNC HOLDINGS INC-CL A,ＧＮＣホールディングス,NYSE,小売,○
GNRC,GENERAC HOLDINGS INC,ジェネラック・ホールディングス,NYSE,その他製造,○
GNW,"GENWORTH FINANCIAL, INC.",ジェンワース・ファイナンシャル,NYSE,金融（保険）,○
GOL,GOL LINHAS AEREAS INTEL - ADR,ゴル‐リニャス・アエリアス・インテリジェンス,NYSE,航空,○
GOLD,RANDGOLD RESOURCES LIMITED,ランドゴールド・リソーシズ,NASDAQ,鉄鋼・鉱業,○
GOOG,ALPHABET INC. CL-C,アルファベット クラスC,NASDAQ,ソフトウェア・ソフトウェアサービス,○
GOOGL,ALPHABET INC. CL-A,アルファベット クラスA,NASDAQ,ソフトウェア・ソフトウェアサービス,○
GOOS,CANADA GOOSE HOLDINGS INC,カナダ・グース・ホールディングス,NYSE,小売,○
GPC,GENUINE PARTS CO,ジェニュイン・パーツ,NYSE,自動車・自動車関連,○
GPI,GROUP 1 AUTOMOTIVE INC,グループ・ワン・オートモーティブ,NYSE,自動車・自動車関連,○
GPN,GLOBAL PAYMENTS INC,グローバル･ペイメンツ,NYSE,情報処理サービス,○
GPRO,"GOPRO, INC.",ゴープロ,NASDAQ,その他製造,○
GPS,"THE GAP, INC.",ギャップ,NYSE,小売,○
GRA,WR GRACE & CO,Ｗ．Ｒ．グレース,NYSE,化学,○
GRMN,GARMIN LTD,ガーミン,NASDAQ,その他製造,○
GRPN,GROUPON INC,グルーポン,NASDAQ,インターネットサービス,○
GRUB,GRUBHUB INC. ,グラブハブ,NYSE,ソフトウェア・ソフトウェアサービス,○
GRVY,"GRAVITY CO., LTD.",グラヴィティ,NASDAQ,エンターテイメント・メディア,○
GS,"THE GOLDMAN SACHS GROUP, INC.",ゴールドマン・サックス・グループ,NYSE,金融（証券）,○
GSG,iShares S&P GSCI COMMODITY INDEXED TRUST,iシェアーズ S&P GSCI コモディティ・インデックス・トラスト,NYSE Arca,その他,○
GSK,GLAXOSMITHKLINE PLC,グラクソ・スミスクライン,NYSE,医薬品,○
GSP,IPATH S&P GSCI TOTAL RETURN INDEX ETN,iPath S&P GSCIトータルリターン指数ETN,NYSE Arca,その他,○
GT,THE GOODYEAR TIRE & RUBBER COMPANY,グッドイヤー・タイヤ・アンド・ラバー,NASDAQ,自動車・自動車関連,○
GTLS,CHART INDUSTRIES INC,チャート・インダストリーズ,NASDAQ,その他製造,○
GULF,WisdomTree Middle East Dividend Fund,ウィズダムツリー  中東株配当ファンド,NASDAQ,その他,○
GVA,GRANITE CONSTRUCTION INC,グラナイト・コンストラクション,NYSE,複合企業,○
GWW,WW GRAINGER INC,Ｗ・Ｗ・グレインジャー,NYSE,小売,○
H,HYATT HOTELS CORPORATION CL-A,ハイアット・ホテルズ　クラスＡ,NYSE,ホテル・モーテル,○
HABT,"HABIT RESTAURANTS, INC.",ハビット・レストランツ,NASDAQ,外食・レストラン,○
HACK,ETFMG Prime Cyber Security ETF,ETFMG・プライム・サイバー・セキュリティー・ETF,NYSE Arca,その他,○
HAIN,HAIN CELESTIAL GROUP INC,ハイン・セレスチャル・グループ,NASDAQ,食品・飲料,○
HAL,HALLIBURTON COMPANY,ハリバートン,NYSE,石油・ガス・パイプライン,○
HAS,HASBRO INC,ハスブロ,NASDAQ,その他製造,○
HBAN,HUNTINGTON BANCSHARES INC.,ハンティントン・バンクシェアーズ,NASDAQ,金融（銀行）,○
HBI,HANESBRANDS INC,ヘインズブランズ,NYSE,小売,○
HCA,HCA HEALTHCARE,HCA ヘルスケア,NYSE,医療・医療サービス,○
HCSG,HEALTHCARE SERVICES GROUP,ヘルスケア・サービシズ・グループ,NASDAQ,サービス,○
HD,"THE HOME DEPOT, INC.",ホームデポ,NYSE,小売,○
HDB,HDFC BANK LIMITED,ＨＤＦＣバンク,NYSE,金融（銀行）,○
HDS,HD SUPPLY HLDGS INC,HDサプライ・ホールディングス,NASDAQ,複合企業,○
HDV,iShares Core High Dividend ETF,iシェアーズ コア米国高配当株 ETF,NYSE Arca,その他,○
HE,HAWAIIAN ELECTRIC INDS,ハワイアン・エレクトリック・インダストリーズ,NYSE,電機・電力・エネルギー,○
HEDJ,WisdomTree Europe Hedged Equity Fund,ウィズダムツリー  欧州株米ドルヘッジ付ファンド,NYSE Arca,その他,○
HES,HESS CORP,ヘス,NYSE,石油・ガス・パイプライン,○
HEWG,iShares Currency Hedged MSCI Germany ETF,iシェアーズ 米ドルヘッジ MSCI ドイツ ETF,NASDAQ,その他,○
